YEAR;MONTH;DAY;DAY_OF_WEEK;AIRLINE;FLIGHT_NUMBER;SCHEDULED_DEPARTURE;DEPARTURE_TIME;DEPARTURE_DELAY;TAXI_OUT;WHEELS_OFF;SCHEDULED_TIME;ELAPSED_TIME;AIR_TIME;DIST5E;WHEELS_ON;TAXI_IN;SCHEDULED_ARRIVAL;ARRIVAL_TIME;ARRIVAL_DELAY
2015;1;1;4;1;98;5;2354;-11;21;15;205;194;169;1448;404;4;430;408;-22
2015;1;1;4;2;2336;10;2;-8;12;14;280;279;263;2330;737;4;750;741;-9
2015;1;1;4;3;840;20;18;-2;16;34;286;293;266;2296;800;11;806;811;5
2015;1;1;4;2;258;20;15;-5;15;30;285;281;258;2342;748;8;805;756;-9
2015;1;1;4;1;135;25;24;-1;11;35;235;215;199;1448;254;5;320;259;-21
2015;1;1;4;4;806;25;20;-5;18;38;217;230;206;1589;604;6;602;610;8
2015;1;1;4;5;612;25;19;-6;11;30;181;170;154;1299;504;5;526;509;-17
2015;1;1;4;3;2013;30;44;14;13;57;273;249;228;2125;745;8;803;753;-10
2015;1;1;4;2;1112;30;19;-11;17;36;195;193;173;1464;529;3;545;532;-13
2015;1;1;4;4;1173;30;33;3;12;45;221;203;186;1747;651;5;711;656;-15
2015;1;1;4;4;2336;30;24;-6;12;36;173;149;133;1199;449;4;523;453;-30
2015;1;1;4;2;1674;35;27;-8;21;48;268;266;238;2174;746;7;803;753;-10
2015;1;1;4;4;1434;35;35;0;18;53;214;210;188;1535;601;4;609;605;-4
2015;1;1;4;4;2324;40;34;-6;18;52;215;199;176;1590;548;5;615;553;-22
2015;1;1;4;4;2440;40;39;-1;28;107;189;198;166;1399;553;4;549;557;8
2015;1;1;4;1;108;45;41;-4;17;58;204;194;173;1448;451;4;509;455;-14
2015;1;1;4;4;1560;45;31;-14;25;56;210;200;171;1448;447;4;515;451;-24
2015;1;1;4;6;1197;48;42;-6;11;53;218;217;199;1635;612;7;626;619;-7
2015;1;1;4;1;122;50;46;-4;11;57;215;201;187;1542;504;3;525;507;-18
2015;1;1;4;4;1670;50;45;-5;9;54;193;186;171;1426;545;6;603;551;-12
2015;1;1;4;5;520;55;120;25;11;131;162;143;128;1139;539;4;537;543;6
2015;1;1;4;2;371;100;52;-8;30;122;338;347;311;2724;933;6;938;939;1
2015;1;1;4;5;214;103;102;-1;13;115;147;147;128;1055;523;6;530;529;-1
2015;1;1;4;2;115;105;103;-2;14;117;286;276;255;2342;832;7;851;839;-12
2015;1;1;4;4;1450;105;102;-3;11;113;183;163;150;1299;543;2;608;545;-23
2015;1;1;4;6;1545;115;112;-3;11;123;183;175;156;1379;559;8;618;607;-11
2015;1;1;4;1;130;115;107;-8;25;132;213;218;186;1533;538;7;548;545;-3
2015;1;1;4;5;597;115;127;12;14;141;207;220;166;1487;527;40;542;607;25
2015;1;1;4;3;413;120;110;-10;12;122;245;224;205;1916;747;7;825;754;-31
2015;1;1;4;2;2392;120;141;21;12;153;227;208;188;1709;701;8;707;709;2
2015;1;1;4;5;168;125;237;72;9;246;204;175;156;1440;622;10;549;632;43
2015;1;1;4;2;2211;127;116;-11;10;126;239;234;217;1972;703;7;726;710;-16
2015;1;1;4;1;136;135;;;;;205;;;1448;;;600;;
2015;1;1;4;4;95;140;134;-6;43;217;215;231;182;1590;719;6;715;725;10
2015;1;1;4;5;298;144;140;-4;10;150;170;170;148;1222;618;12;634;630;-4
2015;1;1;4;7;17;145;145;0;16;201;370;385;361;2762;602;8;555;610;15
2015;1;1;4;3;617;152;143;-9;21;204;323;322;298;2552;902;3;915;905;-10
2015;1;1;4;6;1528;154;157;3;12;209;255;241;220;1608;449;9;509;458;-11
2015;1;1;4;1;134;155;140;-15;17;157;218;198;170;1448;547;11;633;558;-35
2015;1;1;4;8;304;155;153;-2;12;205;235;248;231;1598;456;5;450;501;11
2015;1;1;4;5;451;155;139;-16;10;149;208;191;174;1334;443;7;523;450;-33
2015;1;1;4;5;972;159;158;-1;11;209;123;125;103;868;452;11;502;503;1
2015;1;1;4;2;2459;200;;;;;120;;;868;;;500;;
2015;1;1;4;1;144;200;150;-10;24;214;210;209;182;1542;616;3;630;619;-11
2015;1;1;4;5;647;200;155;-5;21;216;184;178;149;1176;445;8;504;453;-11
2015;1;1;4;8;1990;206;152;-14;19;211;246;264;239;1608;510;6;512;516;4
2015;1;1;4;3;699;220;209;-11;10;219;224;199;183;1773;722;6;804;728;-36
2015;1;1;4;1;114;220;209;-11;15;224;200;199;176;1448;620;8;640;628;-12
2015;1;1;4;8;668;255;248;-7;10;258;185;183;169;1179;447;4;500;451;-9
2015;1;1;4;6;1162;259;258;-1;14;312;240;247;225;1585;557;8;559;605;6
2015;1;1;4;8;1030;307;304;-3;25;329;173;196;160;1129;509;11;500;520;20
2015;1;1;4;8;262;330;316;-14;14;330;245;243;224;1674;614;5;635;619;-16
2015;1;1;4;8;2134;400;535;95;9;544;185;175;163;1189;727;3;605;730;85
2015;1;1;4;8;730;419;423;4;11;434;174;163;148;1129;602;4;613;606;-7
2015;1;1;4;8;768;424;413;-11;24;437;186;196;166;1179;623;6;630;629;-1
2015;1;1;4;8;2276;438;550;72;15;605;241;258;237;1666;902;6;739;908;89
2015;1;1;4;3;602;500;459;-1;12;511;228;232;214;1440;745;6;748;751;3
2015;1;1;4;1;695;500;456;-4;22;518;70;74;39;224;557;13;610;610;0
2015;1;1;4;7;102;500;452;-8;10;502;49;51;35;216;537;6;549;543;-6
2015;1;1;4;9;5467;500;513;13;19;532;89;85;61;363;633;5;629;638;9
2015;1;1;4;7;108;502;501;-1;12;513;42;48;30;163;543;6;544;549;5
2015;1;1;4;1;730;505;457;-8;16;513;205;199;179;1448;912;4;930;916;-14
2015;1;1;4;7;206;505;454;-11;10;504;36;36;20;100;524;6;541;530;-11
2015;1;1;4;6;1500;510;514;4;23;537;175;182;147;925;804;12;805;816;11
2015;1;1;4;2;1323;510;507;-3;14;521;63;55;38;192;559;3;613;602;-11
2015;1;1;4;5;103;510;506;-4;16;522;140;134;112;738;714;6;730;720;-10
2015;1;1;4;9;7404;510;500;-10;37;537;68;78;35;174;612;6;618;618;0
2015;1;1;4;9;7419;510;508;-2;21;529;69;67;41;257;610;5;619;615;-4
2015;1;1;4;9;5254;510;;;;;87;;;429;;;637;;
2015;1;1;4;3;480;515;510;-5;15;525;165;168;146;1107;851;7;900;858;-2
2015;1;1;4;2;1057;515;703;108;15;718;161;155;133;1121;1031;7;856;1038;102
2015;1;1;4;2;2454;515;510;-5;14;524;208;215;182;1258;826;19;843;845;2
2015;1;1;4;10;4354;515;517;2;12;529;178;189;163;984;812;14;813;826;13
2015;1;1;4;3;425;520;620;60;13;633;150;150;132;1009;945;5;850;950;60
2015;1;1;4;2;89;520;618;58;19;637;141;137;111;964;928;7;841;935;54
2015;1;1;4;4;2099;520;511;-9;30;541;103;106;66;456;747;10;803;757;-6
2015;1;1;4;10;4685;520;517;-3;15;532;74;72;49;308;621;8;634;629;-5
2015;1;1;4;10;5583;520;514;-6;9;523;66;57;42;250;705;6;726;711;-15
2015;1;1;4;9;5484;520;525;5;24;549;112;110;79;522;608;7;612;615;3
2015;1;1;4;9;7370;520;517;-3;31;548;60;72;34;199;622;7;620;629;9
2015;1;1;4;7;103;523;513;-10;7;520;37;35;21;102;541;7;600;548;-12
2015;1;1;4;10;5187;525;525;0;32;557;65;70;35;214;732;3;730;735;5
2015;1;1;4;11;2859;525;;;;;95;;;364;;;700;;
2015;1;1;4;6;1201;530;532;2;12;544;230;234;210;1325;814;12;820;826;6
2015;1;1;4;6;1221;530;534;4;9;543;142;142;125;991;848;8;852;856;4
2015;1;1;4;6;1607;530;529;-1;10;539;157;157;138;1024;857;9;907;906;-1
2015;1;1;4;2;328;530;623;53;32;655;125;138;96;641;931;10;835;941;66
2015;1;1;4;10;5764;530;527;-3;12;539;55;44;22;84;501;10;525;511;-14
2015;1;1;4;12;1279;530;526;-4;12;538;160;146;128;861;746;6;810;752;-18
2015;1;1;4;5;409;530;526;-4;12;538;188;167;149;1182;907;6;938;913;-25
2015;1;1;4;9;5460;530;;;;;90;;;199;;;700;;
2015;1;1;4;9;6391;530;526;-4;26;552;163;180;143;996;915;11;913;926;13
2015;1;1;4;6;1532;531;550;19;15;605;146;153;127;967;912;11;857;923;26
2015;1;1;4;6;1167;533;540;7;10;550;167;163;142;888;712;11;720;723;3
2015;1;1;4;6;1012;535;541;6;12;553;207;215;194;1190;807;9;802;816;14
2015;1;1;4;8;2001;535;530;-5;17;547;88;78;56;301;643;5;703;648;-15
2015;1;1;4;8;2807;535;528;-7;13;541;85;67;50;273;631;4;700;635;-25
2015;1;1;4;8;2023;535;618;43;13;631;225;201;184;1598;1035;4;1020;1039;19
